,Type,Metal,Ligand,Synthesis method,Solvent,Physical state,Oxidation number,Reaction Time (h),SSA (m2/g),Pore size (nm),pore volume (cm3/g),CO2 adsorption capacity (mmol/g),CO2 selectivity percentage,Adsorption Temp (K),Adsorption pressure (bar),filename,Group,SuperGroup,0,1,unit,mean
0,MOF-2,Zn,H2BDC,solvothermal,N/methyl/2/pyrrolidone/chlorobenzene/DMF,solid,2.0,3.0,,,,,,,,001.pdf,MOF-2,MOF,,,,
1,MOF-5,Zn,H2BDC,solvothermal,diethylformamide,solid,2.0,4.0,3400.0,1.2,,,,,,001.pdf,MOF-5,MOF,,,,
2,IRMOF-8,Zn,"2,6-naphthalenedicarboxylic acid",solvothermal,diethylformamide/N/methyl/2/pyrollidone,solid,2.0,4.0,1750.0,,,,,,,001.pdf,IRMOF-8,IRMOF,,,,
3,Cu-BTC-MOF,Cu,H3BTC,electrochemical synthesis,MeOH,solid,1.0,150.0,1820.0,,,0.7498295841854125,,77.0,20.0,001.pdf,Cu-BTC-MOF,MOF,,,,
4,[Cu3(BTC)2],Cu,H3BTC,electrochemical growth,EtOH/H2Omix,thin film,,30.0,,,,,,,,002.pdf,Cu3(BTC)2,Metal/BTC,,,,
5,HKUST-1,Cu,H3BTC,electrochemical synthesis,EtOH/H2O,solid,2.0,1.0,1400.0,0.3,0.6,,,,,003.pdf,HKUST-1,HKUST,,,cm3,
6,ZIF-8,Zn,Methyl imidazolate (MeIM),electrochemical synthesis,DMF/MeOH/orH2O,solid,2.0,1.0,1550.0,0.34,0.6,,,,,003.pdf,ZIF-8,ZIF,,,cm3,
7,MIL-100(Al),Al,"Trimethyl 1,3,5-benzene-tricarboxylate (Me3btc)",electrochemical synthesis,EtOH/H2O,solid,3.0,1.0,,2.7,,,,,,003.pdf,MIL-100,MIL,,,,
8,MIL-53(Al),Al,"1,4-benzene-dicarboxylate",electrochemical synthesis,DMF/H2O,solid,3.0,3.0,1200.0,,0.65,,,,,003.pdf,MIL-53,MIL,,,cm3,0.65
9,NH2-MIL-53(Al),Al,Amino-H2BDC,electrochemical synthesis,DMF/H2O,solid,3.0,3.0,,,,,,,,003.pdf,MIL-53,MIL,,,,
10,HKUST-1,Cu,H3BTC,electrochemical synthesis,EtOH/H2O,layer,,20.0,,,,,,,,004.pdf,HKUST-1,HKUST,,,,
11,HKUST-1,Cu,H3BTC,electrochemical synthesis,MixturesofH2O/MeOH/EtOH,solid,,5.0,,,,,,,,005.pdf,HKUST-1,HKUST,,,,
12,Cu3(BTC)2,Cu,H3BTC,"hydrothermal, ambient pressure, electrochemical",EtOH,solid,2.0,14.0,1624.0,0.9,0.62,,,303.0,0.05,006.pdf,Cu3(BTC)2,Metal/BTC,,,cm3,
13,MIL-100(Fe),Fe,H3BTC,electrochemical deposition,2/1EtOH/milli/QH2O,solid coating,3.0,1.0,2200.0,,,,,,,007.pdf,MIL-100,MIL,,,,
14,HKUST-1,Cu,H3BTC,electrochemical deposition,2/1EtOH/milli/QH2O,solid coating,2.0,,,,,,,,,007.pdf,HKUST-1,HKUST,,,,
15,ZIF-4,Zn,IM,anodic growth,DMF/H2O,solid,2.0,15.0,75.0,0.2,,,,,,008.pdf,ZIF-4,ZIF,,,,
16,ZIF-7,Zn,bIM,anodic growth,,solid,2.0,120.0,358.0,,,,,,,008.pdf,ZIF-7,ZIF,,,,
17,ZIF-8,Zn,mIM,anodic growth,,solid,2.0,60.0,1730.0,,,,,,,008.pdf,ZIF-8,ZIF,,,,
18,ZIF-14,Zn,eIM,anodic growth,,solid,2.0,60.0,598.0,,,,,,,008.pdf,ZIF-14,ZIF,,,,
19,ZIF-67,Co,mIM,anodic growth,,solid,2.0,60.0,1521.0,,,,,,,008.pdf,ZIF-67,ZIF,,,,
20,Tb-BTC,Tb,H3BTC,electrochemical synthesis,EtOH/H2O,crystalline,,,,,,,,,,009.pdf,Tb-BTC,Metal/BTC,,,,
21,Gd-BTC,Gd,H3BTC,electrochemical synthesis,EtOH/H2O,crystalline,,,,,,,,,,009.pdf,Gd-BTC,Metal/BTC,,,,
22,Zn-BTC,Zn,H3BTC,electrochemical synthesis,,needle-like,,,,,,,,,,009.pdf,Zn-BTC,Metal/BTC,,,,
23,Tb-BTC,Tb,H3BTC,electrochemical synthesis,EtOH/H2O,crystalline,,,,,,,,,,009.pdf,Tb-BTC,Metal/BTC,,,,
24,Gd-BTC,Gd,H3BTC,electrochemical synthesis,EtOH/H2O,crystalline,,,,,,,,,,009.pdf,Gd-BTC,Metal/BTC,,,,
25,Zn-BTC,Zn,H3BTC,electrochemical synthesis,,crystalline,,,,,,,,,,009.pdf,Zn-BTC,Metal/BTC,,,,
26,Zn3(BTC)2,Zn,H3BTC,electrochemical plating,EtOH,thin film,2.0,40.0,,,,,,,,010.pdf,Zn3(BTC)2,Metal/BTC,,,,
27,MOF-5(IL),Zn,H2BDC,electrochemical,Bmimbromine,solid,2.0,2.0,,,,,,,,011.pdf,MOF-5,MOF,,,,
28,MOF-5(IL),Zn,H2BDC,electrochemical,1/butyl/3/methylimidazoliumchloride,spherical,2.0,2.0,914.7,,,,,,,012.pdf,MOF-5,MOF,,,,
29,MOF-5,Zn,H2BDC,cathodic electrodeposition,DMF/H2O,crystalline,2.0,15.0,,,,,,,,013.pdf,MOF-5,MOF,,,,
30,MOF-5,Zn,H2BDC,electrochemical deposition,DMF,solid,2.0,15.0,,,,,,,,014.pdf,MOF-5,MOF,,,,
31,(Et3NH)2Zn3(BDC)4,Zn,H2BDC,cathodic electrodeposition,DMF,thin film,2.0,,917.0,,,,,,,015.pdf,(Et3NH)2Zn3(BDC)4,Metal/BDC,,,,
